,old_HSH 100 lb,new_HSH 100 lb,HSH 60 lb,HSH MIX,COM 100 lb,COM 20 lb,COM 60 lb,COM MIX,CAMP GAS,HSH BULK,MOTOR FUEL,COM BULK
20221201,9,215,0,0,19,320,2,120,0,691,1052.559,36061
20221202,17,183,0,20,28,436,0,30,0,3379,632.927,34629
20221203,20,231,0,0,10,375,0,40,0,0,558.4839999999999,0
20221205,4,233,0,20,12,411,0,40,0,2280,1187.716,45030
20221206,2,207,0,0,28,398,0,30,0,1239,1350.3839999999998,46959
20221207,5,217,0,0,31,322,3,15,0,1158,801.304,42400
20221208,2,204,0,0,14,257,0,0,4,273,697.581,37354
20221209,6,164,0,0,19,332,0,30,1,1465,1780.8559999999998,37823
20221210,5,188,0,0,4,368,0,70,0,150,343.992,1337
20221212,1,243,0,0,22,450,0,35,0,3220,1740.048,44738
20221213,0,242,0,20,18,404,3,150,0,1563,859.5699999999999,45962
20221214,2,217,0,0,20,329,0,155,0,3415,694.4000000000001,41219
20221215,1,232,0,0,24,308,0,0,0,907,557.1890000000001,36438
20221216,4,246,0,20,30,444,0,120,1,3587,782.706,31389
20221217,0,204,0,20,6,339,0,40,1,0,754.22,0
20221219,0,277,0,0,19,639,0,40,0,476,973.783,44250
20221220,4,298,0,0,19,508,0,15,0,2600,1242.046,48416
20221221,1,291,0,0,33,481,3,120,0,2115,820.054,39128
20221222,2,312,0,0,39,568,0,15,0,3824,626.278,43036
20221223,1,228,0,20,16,453,0,70,0,1202,805.6439999999999,38853
20221224,0,58,0,20,2,432,0,50,0,767,235.752,6352
20221225,0,0,0,0,0,0,0,0,0,0,0,530
20221226,0,0,0,0,0,0,0,0,0,0,0,33852
20221227,0,250,0,0,19,455,0,120,0,380,1950.9650000000001,43372
20221228,1,221,0,0,14,413,0,0,0,581,1100.443,43403
20221229,0,246,0,0,27,342,0,115,0,1372,669.119,39790
